Empresa,Valor,share,share_acumulado,pct_fornecedores
Empresa 7229,81334878.27520001,0.0015800936261205155,0.43611454166554775,0.013206066945606694
Empresa 5331,80731244.1234,0.0015683668184336506,0.4376829084839814,0.013336820083682008
Empresa 2596,80661710.0432,0.0015670159790489718,0.43924992446303035,0.013467573221757323
Empresa 4847,80636940.91600001,0.0015665347889268098,0.44081645925195717,0.013598326359832637
Empresa 5262,80377855.7216,0.0015615015378422198,0.4423779607897994,0.01372907949790795
Empresa 1437,80206056.9212,0.0015581640005489484,0.44393612479034833,0.013859832635983263
Empresa 2276,80189408.8126,0.00155784057754957,0.4454939653678979,0.013990585774058577
Empresa 5736,78655438.1342,0.0015280401113412787,0.4470220054792392,0.014121338912133892
Empresa 5718,78429384.9516,0.0015236485735340667,0.44854565405277325,0.014252092050209206
Empresa 2061,77732912.5502,0.0015101181960925781,0.45005577224886584,0.014382845188284518
Empresa 1913,75983324.5444,0.001476128929557407,0.45153190117842323,0.014513598326359832
Empresa 6182,75257833.604,0.0014620348086212998,0.4529939359870445,0.014644351464435146
Empresa 7243,74684086.6846,0.0014508886205458372,0.45444482460759034,0.01477510460251046
Empresa 1988,74527739.9396,0.0014478512705125182,0.45589267587810284,0.014905857740585775
Empresa 3738,74442490.3818,0.0014461951263617441,0.4573388710044646,0.015036610878661087
Empresa 1938,74077627.3346,0.001439106927700686,0.45877797793216524,0.015167364016736401
Empresa 5576,73607538.9288,0.0014299745147744072,0.4602079524469396,0.015298117154811715
Empresa 2072,73552266.5824,0.001428900738258115,0.46163685318519776,0.01542887029288703
Empresa 4243,73141867.3794,0.0014209279081687763,0.46305778109336654,0.015559623430962344
Empresa 2140,72625317.5026,0.001410892887705066,0.4644686739810716,0.015690376569037656
Empresa 7221,72453400.75940001,0.0014075530591356473,0.46587622704020726,0.015821129707112972
Empresa 1415,72023804.5946,0.0013992072894461723,0.4672754343296534,0.015951882845188285
Empresa 2017,70817161.6584,0.0013757658230921946,0.4686512001527456,0.016082635983263597
Empresa 2117,70711415.543,0.0013737114920785649,0.47002491164482413,0.016213389121338913
Empresa 4909,70534200.14919999,0.00137026872656232,0.47139518037138645,0.016344142259414225
Empresa 7263,69921371.4252,0.0013583632958143993,0.47275354366720085,0.01647489539748954
Empresa 1333,69744222.55,0.0013549218225557703,0.4741084654897566,0.016605648535564854
Empresa 3992,69717285.8278,0.0013543985225403358,0.4754628640122969,0.016736401673640166
Empresa 2898,69312042.6974,0.0013465258595333584,0.4768093898718303,0.016867154811715482
Empresa 2810,68905095.5908,0.0013386200933609277,0.47814800996519125,0.016997907949790794
Empresa 5310,68377716.9594,0.0013283747025556723,0.4794763846677469,0.01712866108786611
Empresa 2876,67823518.35599999,0.001317608279842475,0.48079399294758934,0.017259414225941423
Empresa 6050,67671796.5494,0.0013146607785412376,0.4821086537261306,0.017390167364016735
Empresa 5659,67444584.3198,0.001310246723914478,0.4834189004500451,0.01752092050209205
Empresa 1349,67351018.9224,0.0013084290278510874,0.4847273294778962,0.017651673640167363
Empresa 5703,67315471.112,0.0013077384401250502,0.48603506791802126,0.01778242677824268
Empresa 5699,67234422.35419999,0.0013061639049647285,0.487341231822986,0.01791317991631799
Empresa 2891,66456369.7404,0.0012910486677882242,0.48863228049077423,0.018043933054393304
Empresa 313,65959135.32,0.001281388888920622,0.4899136693796948,0.01817468619246862
Empresa 1438,65782725.8746,0.0012779617805733167,0.49119163116026815,0.018305439330543932
